Date,Open,High,Low,Close,Adj Close,Volume
2012-11-01,14.08,15.93,13.67,14.25,11.359478999999999,4327400
2012-11-02,14.27,14.4,14.17,14.21,11.327591,4361900
2012-11-05,14.23,14.27,13.96,14.06,11.208019,1747100
2012-11-06,14.13,14.2,13.97,14.11,11.247875,2657300
2012-11-07,14.0,14.12,13.92,13.95,11.120333,2574300
2012-11-08,14.03,14.03,13.74,13.76,10.968873,2299600
2012-11-09,13.95,14.13,13.39,13.5,10.896231,3627600
2012-11-12,13.53,13.57,13.36,13.4,10.81552,1067500
2012-11-13,13.35,13.53,13.33,13.4,10.81552,1237700
2012-11-14,13.43,13.48,12.83,12.9,10.411952000000001,5020200
2012-11-15,12.89,13.04,12.71,12.77,10.307028,3036900
2012-11-16,12.78,12.91,12.73,12.89,10.403880000000001,1533100
2012-11-19,13.01,13.24,12.97,13.18,10.637947,3043100
2012-11-20,13.19,13.34,13.13,13.31,10.742875999999999,2617100
2012-11-21,13.3,13.38,13.17,13.28,10.718661,928000
2012-11-23,13.38,13.47,13.33,13.43,10.839728,517500
2012-11-26,13.36,13.58,13.36,13.57,10.952729,3617700
2012-11-27,13.49,13.55,13.33,13.42,10.831662,2558500
2012-11-28,13.4,13.44,13.27,13.42,10.831662,1460800
2012-11-29,13.5,13.56,13.4,13.41,10.823587,2288600
2012-11-30,13.42,13.54,13.39,13.5,10.896231,3526100
2012-12-03,13.57,13.65,13.45,13.5,10.896231,2018800
2012-12-04,13.48,13.56,13.42,13.42,10.831662,3198800
2012-12-05,13.46,13.46,13.23,13.32,10.750947,3056600
2012-12-06,13.36,13.42,13.31,13.36,10.783232,1658000
2012-12-07,13.41,13.51,13.36,13.5,10.896231,2613700
2012-12-10,13.57,13.72,13.56,13.59,10.968873,2502000
2012-12-11,13.66,13.67,13.55,13.58,10.960802000000001,3016400
2012-12-12,13.59,13.68,13.45,13.5,10.896231,2728800
2012-12-13,13.56,13.56,13.39,13.48,10.880086,1296000
2012-12-14,13.47,13.59,13.35,13.45,10.855874,1638100
2012-12-17,13.52,13.64,13.42,13.64,11.009227000000001,1598900
2012-12-18,13.63,13.85,13.58,13.84,11.170655,1741300
2012-12-19,13.83,13.88,13.72,13.85,11.178726,1751700
2012-12-20,13.85,13.97,13.72,13.96,11.267509,1440700
2012-12-21,13.75,13.99,13.75,13.92,11.235223,5048300
2012-12-24,13.85,13.96,13.81,13.87,11.194867,633000
2012-12-26,13.88,13.93,13.78,13.82,11.15451,1339500
2012-12-27,13.82,13.87,13.69,13.81,11.146441000000001,1463700
2012-12-28,13.71,13.87,13.71,13.74,11.089939999999999,914700
2012-12-31,13.7,13.91,13.65,13.87,11.194867,1345700
2013-01-02,14.19,14.19,13.94,14.04,11.332078,2271500
2013-01-03,14.06,14.23,14.03,14.13,11.404719,1984900
2013-01-04,14.16,14.3,14.11,14.27,11.517719,2253000
2013-01-07,14.26,14.36,14.24,14.35,11.582289999999999,1837500
2013-01-08,14.35,14.46,14.26,14.41,11.630714999999999,2496200
2013-01-09,14.43,14.56,14.37,14.56,11.751787,2026800
2013-01-10,14.43,14.81,14.32,14.75,11.905139,32369700
2013-01-11,14.73,14.76,14.53,14.66,11.832497,4468900
2013-01-14,14.63,14.67,14.54,14.63,11.808285,2444700
2013-01-15,14.67,14.84,14.61,14.82,11.961639,3854900
2013-01-16,14.76,14.83,14.7,14.78,11.929354,4526900
2013-01-17,14.87,15.08,14.83,15.04,12.139206,8377400
2013-01-18,15.04,15.04,14.91,14.98,12.090778,2936300
2013-01-22,15.0,15.21,14.95,15.21,12.276419,4843200
2013-01-23,15.18,15.23,15.14,15.2,12.268348,4237000
2013-01-24,15.24,15.3,15.17,15.22,12.284492,2686600
2013-01-25,15.31,15.33,15.2,15.28,12.33292,3324300
2013-01-28,15.39,15.39,15.2,15.25,12.308705999999999,2712600
2013-01-29,15.21,15.29,15.17,15.25,12.308705999999999,4656700
2013-01-30,15.29,15.32,15.02,15.13,12.211849,5145400
2013-01-31,15.1,15.41,15.05,15.41,12.437844,9516800
2013-02-01,15.48,15.57,15.37,15.55,12.550842999999999,5826700
2013-02-04,15.47,15.73,15.41,15.7,12.671913,7351500
2013-02-05,15.71,15.74,15.57,15.72,12.688056,4558000
2013-02-06,15.61,15.79,15.58,15.79,12.744553999999999,2772200
2013-02-07,15.83,15.94,15.77,15.91,12.84141,4504400
2013-02-08,15.9,16.1,15.9,16.07,12.970547999999999,4437500
2013-02-11,15.87,15.95,15.78,15.86,12.937919,5032000
2013-02-12,15.91,15.95,15.86,15.92,12.986864,3400100
2013-02-13,15.97,16.059998999999998,15.91,15.96,13.019494,2573700
2013-02-14,15.96,16.09,15.89,15.91,12.978705999999999,5867900
2013-02-15,15.86,15.95,15.75,15.83,12.913446,3760300
2013-02-19,15.88,16.030001000000002,15.87,15.97,13.027652999999999,4995300
2013-02-20,15.97,16.049999,15.75,15.75,12.848186,3159400
2013-02-21,15.59,15.64,15.38,15.48,12.627930000000001,3321500
2013-02-22,15.56,15.76,15.5,15.7,12.807397,6313600
2013-02-25,15.78,15.83,15.42,15.43,12.587144,4715700
2013-02-26,15.53,15.69,15.52,15.61,12.73398,4789800
2013-02-27,15.58,16.059998999999998,15.57,16.059998999999998,13.10107,4057000
2013-02-28,15.99,16.219998999999998,15.98,16.16,13.182645999999998,5753600
2013-03-01,16.08,16.139999,15.94,16.120001000000002,13.150017000000002,3360300
2013-03-04,16.049999,16.32,16.049999,16.25,13.256064000000002,2121200
2013-03-05,16.27,16.5,16.209999,16.459999,13.427373000000001,1768000
2013-03-06,16.49,16.5,16.32,16.440001000000002,13.411059,2245400
2013-03-07,16.48,16.5,16.290001,16.370001000000002,13.353956,2548500
2013-03-08,16.42,16.65,16.360001,16.639999,13.574207000000001,2949000
2013-03-11,16.58,16.65,16.5,16.59,13.533422,1853700
2013-03-12,16.620001000000002,16.629998999999998,16.379998999999998,16.42,13.394741,3097000
2013-03-13,16.459999,16.59,16.4,16.58,13.525264000000002,3556200
2013-03-14,16.549999,16.83,16.549999,16.809998999999998,13.712886,3043300
2013-03-15,16.84,17.02,16.700001,17.02,13.8842,4762500
2013-03-18,16.809998999999998,16.93,16.74,16.82,13.721045000000002,2706100
2013-03-19,16.799999,16.82,16.549999,16.67,13.598683,2735500
2013-03-20,16.73,16.85,16.690001000000002,16.83,13.729203,3474200
2013-03-21,16.809998999999998,16.950001,16.74,16.780001000000002,13.688417000000001,3510400
2013-03-22,16.83,17.0,16.790001,16.9,13.786307,2265400
2013-03-25,16.9,17.1,16.780001000000002,16.82,13.721045000000002,2737500
2013-03-26,16.9,16.98,16.85,16.940001000000002,13.818938000000001,1645800
2013-03-27,16.799999,17.059998999999998,16.799999,17.059998999999998,13.916828,1094900
2013-03-28,17.09,17.16,16.969998999999998,16.98,13.851563,6004900
2013-04-01,17.02,17.110001,16.91,17.09,13.941303,2763500
2013-04-02,17.15,17.32,17.110001,17.26,14.079977,1937200
2013-04-03,17.389999,17.389999,17.16,17.200001,14.031035999999999,2785400
2013-04-04,17.200001,17.6,17.18,17.59,14.349179000000001,2182500
2013-04-05,17.34,17.459999,17.219998999999998,17.24,14.063663,5598900
2013-04-08,17.280001000000002,17.440001000000002,17.200001,17.42,14.210501,3124200
2013-04-09,17.5,17.5,17.280001000000002,17.4,14.194185999999998,3415600
2013-04-10,17.440001000000002,17.52,17.33,17.360001,14.16156,4457700
2013-04-11,17.4,17.82,17.4,17.6,14.357338,3624200
2013-04-12,17.58,17.73,17.52,17.73,14.463382999999999,1948000
2013-04-15,17.620001000000002,17.75,17.209999,17.25,14.071822000000001,2553600
2013-04-16,17.360001,17.74,17.26,17.73,14.463382999999999,2790300
2013-04-17,17.559998999999998,17.59,17.17,17.280001000000002,14.096297,3413600
2013-04-18,17.290001,17.34,17.08,17.200001,14.031035999999999,1667000
2013-04-19,17.25,17.559998999999998,17.18,17.530001000000002,14.300237,2396300
2013-04-22,17.540001,17.559998999999998,17.35,17.450001,14.234974,1536400
